"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","origin","mass.above"
"A",1,17,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"INTRODUCED",329.03
"A",1,17,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"NATIVE",62.533
"A",1,17,1996,0,"Intact",8,27.2,"2. NPK+",1,15,NA,9.467
"A",1,17,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"INTRODUCED",23.1
"A",1,17,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"INTRODUCED",186.83
"A",1,17,1998,0,"Intact",8,27.2,"2. NPK+",1,17,NA,11
"A",1,17,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"INTRODUCED",333.6
"A",1,17,1999,0,"Intact",8,27.2,"2. NPK+",1,18,NA,50.467
"A",1,17,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"INTRODUCED",158.267
"A",1,17,2000,0,"Intact",8,27.2,"2. NPK+",1,19,NA,21.367
"A",1,17,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"INTRODUCED",193.537
"A",1,17,2001,0,"Intact",8,27.2,"2. NPK+",1,20,NA,52.523
"A",1,17,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"INTRODUCED",120.397
"A",1,17,2002,0,"Intact",8,27.2,"2. NPK+",1,21,NA,15.733
"A",1,17,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"INTRODUCED",105.5
"A",1,17,2003,0,"Intact",8,27.2,"2. NPK+",1,22,NA,17.2
"A",1,17,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"INTRODUCED",246.5267
"A",1,17,2004,0,"Intact",8,27.2,"2. NPK+",1,23,NA,10.52
"A",1,18,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"INTRODUCED",150.603
"A",1,18,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"NATIVE",45.866
"A",1,18,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"INTRODUCED",641.1
"A",1,18,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"NATIVE",8.033
"A",1,18,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"INTRODUCED",363.4
"A",1,18,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"INTRODUCED",457.277
"A",1,18,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"INTRODUCED",242.07
"A",1,18,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"INTRODUCED",184.9
"A",1,18,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"INTRODUCED",18.267
"A",1,18,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"INTRODUCED",331.1
"A",1,18,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"INTRODUCED",119.063
"A",1,18,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"INTRODUCED",428.07
"A",1,18,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"NATIVE",0.001
"A",1,18,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"INTRODUCED",153.434
"A",1,18,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"INTRODUCED",302.733
"A",1,18,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"NATIVE",6.233
"A",1,18,1993,0,"Intact",8,27.2,"2. NPK+",1,12,NA,10.633
"A",1,18,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"INTRODUCED",171.644
