"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","functional.group","mass.above"
"A",1,20,1985,0,"Intact",9,0,"1. Control",0,4,"C3",98
"A",1,20,1985,0,"Intact",9,0,"1. Control",0,4,"C4",0.133
"A",1,20,1985,0,"Intact",9,0,"1. Control",0,4,"F",1.966
"A",1,20,1985,0,"Intact",9,0,"1. Control",0,4,"S",1.203
"A",1,20,1986,0,"Intact",9,0,"1. Control",0,5,"C3",113.564
"A",1,20,1986,0,"Intact",9,0,"1. Control",0,5,"C4",0.067
"A",1,20,1986,0,"Intact",9,0,"1. Control",0,5,"F",22.977
"A",1,20,1987,0,"Intact",9,0,"1. Control",0,6,"C3",71.09
"A",1,20,1987,0,"Intact",9,0,"1. Control",0,6,"C4",1.177
"A",1,20,1987,0,"Intact",9,0,"1. Control",0,6,"F",15.943
"A",1,20,1988,0,"Intact",9,0,"1. Control",0,7,"C3",26.8
"A",1,20,1988,0,"Intact",9,0,"1. Control",0,7,"C4",0.033
"A",1,20,1988,0,"Intact",9,0,"1. Control",0,7,"F",16.533
"A",1,20,1989,0,"Intact",9,0,"1. Control",0,8,"C3",88.966
"A",1,20,1989,0,"Intact",9,0,"1. Control",0,8,"F",38.933
"A",1,20,1990,0,"Intact",9,0,"1. Control",0,9,"C3",26.733
"A",1,20,1990,0,"Intact",9,0,"1. Control",0,9,"C4",0.963
