"field","exp","plot","year","disk","disk.trt","ntrt","trt","nadd","other.add","dur","duration","mass.above"
"A",1,17,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"ANNUAL",0.4
"A",1,17,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"BIENNIAL",0.913
"A",1,17,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"PERENNIAL",266.703
"A",1,17,1985,0,"Intact",8,"2. NPK+",27.2,1,4,"ANNUAL",0.167
"A",1,17,1985,0,"Intact",8,"2. NPK+",27.2,1,4,"PERENNIAL",411.983
"A",1,17,1986,0,"Intact",8,"2. NPK+",27.2,1,5,"PERENNIAL",253.5
"A",1,17,1987,0,"Intact",8,"2. NPK+",27.2,1,6,"PERENNIAL",290.83
"A",1,17,1988,0,"Intact",8,"2. NPK+",27.2,1,7,"PERENNIAL",14.633
"A",1,17,1989,0,"Intact",8,"2. NPK+",27.2,1,8,"PERENNIAL",158.837
"A",1,17,1990,0,"Intact",8,"2. NPK+",27.2,1,9,"ANNUAL",0.007
"A",1,17,1990,0,"Intact",8,"2. NPK+",27.2,1,9,"PERENNIAL",172.37
"A",1,17,1991,0,"Intact",8,"2. NPK+",27.2,1,10,"PERENNIAL",360.97
"A",1,17,1992,0,"Intact",8,"2. NPK+",27.2,1,11,"PERENNIAL",390.5
"A",1,17,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"PERENNIAL",212.703
"A",1,17,1994,0,"Intact",8,"2. NPK+",27.2,1,13,"PERENNIAL",85.3
"A",1,17,1995,0,"Intact",8,"2. NPK+",27.2,1,14,"PERENNIAL",197.763
"A",1,17,1996,0,"Intact",8,"2. NPK+",27.2,1,15,"PERENNIAL",401.03
"A",1,17,1997,0,"Intact",8,"2. NPK+",27.2,1,16,"PERENNIAL",23.1
"A",1,17,1998,0,"Intact",8,"2. NPK+",27.2,1,17,"PERENNIAL",197.83
"A",1,17,1999,0,"Intact",8,"2. NPK+",27.2,1,18,"PERENNIAL",384.067
"A",1,17,2000,0,"Intact",8,"2. NPK+",27.2,1,19,"BIENNIAL",0.567
"A",1,17,2000,0,"Intact",8,"2. NPK+",27.2,1,19,"PERENNIAL",179.067
"A",1,17,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"ANNUAL",27.12
"A",1,17,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"BIENNIAL",0.087
"A",1,17,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"PERENNIAL",218.853
"A",1,17,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"BIENNIAL",0.067
"A",1,17,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"PERENNIAL",136.063
"A",1,17,2003,0,"Intact",8,"2. NPK+",27.2,1,22,"PERENNIAL",122.7
"A",1,17,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"BIENNIAL",0.0267
"A",1,17,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"PERENNIAL",257.02
"A",1,18,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"ANNUAL",59.233
"A",1,18,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"BIENNIAL",48.807
"A",1,18,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"PERENNIAL",88.429
"A",1,18,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"ANNUAL",8.167
"A",1,18,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"BIENNIAL",3.5
"A",1,18,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"PERENNIAL",637.466
"A",1,18,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"PERENNIAL",363.4
"A",1,18,1985,0,"Intact",8,"2. NPK+",27.2,1,4,"ANNUAL",0.007
"A",1,18,1985,0,"Intact",8,"2. NPK+",27.2,1,4,"PERENNIAL",457.27
"A",1,18,1986,0,"Intact",8,"2. NPK+",27.2,1,5,"PERENNIAL",242.07
